Player,Role,BattingStyle,Matches,Innings,NotOut,Runs,Batting Average,BF,SR,Hundreds,Fifties,Fours,Ct,Wickets,Economy,Bowling Average
Shivam Dube,Allrounder,Left-hand bat,1,1,0,9,9,6,150,0,0,1,0,1,6.12,45
Ravindra Jadeja,Allrounder,Left-hand bat,168,113,39,2411,32.58,2769,87.07,0,13,178,27,188,4.92,37.36
Kedar Jadhav,Batting-allrounder,Right-hand bat,73,52,19,1389,42.09,1367,101.6,2,6,141,6,12,5.15,37.77
Hardik Pandya,Allrounder,Right-hand bat,57,41,7,1167,34.32,1011,115.43,0,6,84,17,54,5.56,40.34
Vijay Shankar,Allrounder,Right-hand bat,12,8,1,223,31.85,246,90.65,0,0,20,2,2,5.4,52.5
Ravichandran Ashwin,Bowling-allrounder,Right-hand bat,111,61,19,675,16.07,776,86.98,0,1,59,14,43,5.33,34.54
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
