Player,Role,Mat,Bat_Inns,NotOut,Runs_scored,Bat_Ave,SR,Bow_Inns,Wkts,Bow_Ave,Econ,bow_SR,5,10,Ct,St
MA Agarwal,Batsman,9,13,0,438,33.69230769,56.5,0,0,0,0,0,0,0,7,0
Ravichandran Ashwin,Allrounder,120,95,15,1000,12.5,59.67,150,400,27.28,3.44,47.5,27,7,50,0
Jasprit Bumrah,Bowler,20,12,10,20,10,27.65,25,28,22.89,4,34.2,6,0,12,0
Yuzvendra Chahal,Bowler,55,7,3,10,2.5,57.42,55,100,26.27,6.03,26.1,3,0,22,0
RD Chahar,Bowler,1,0,0,0,0,0,1,1,27,9,18,0,0,0,0
Shikhar Dhawan,Batsman,50,80,2,2500,32.05128205,89.46,5,0,0,2,0,0,0,38,0
Shreyas Iyer,Batsman,17,16,0,386,24.125,109.47,2,0,0,7.5,0,0,0,16,0
Ravindra Jadeja,Allrounder,130,100,28,1800,25,75.25,150,250,30.26,3.58,50.7,10,1,60,0
Kedar Jadhav,Allrounder,20,14,0,300,21.42857143,103.06,12,7,37.77,5.15,43.9,0,0,12,0
Dinesh Karthik,Wk,41,46,10,850,23.61111111,66.93,0,0,0,0,0,0,0,20,18
Virat Kohli,Batsman,144,130,20,8000,72.72727273,80.26,31,4,118.37,5.9,120.2,0,0,70,0
Kuldeep Yadav,Bowler,50,20,5,89,5.933333333,51.21,49,108,23.17,4.97,27.9,4,0,20,0
Bhuvneshwar Kumar,Bowler,20,10,2,100,12.5,56.25,30,26,30.93,4.5,41.2,6,0,16,0
M Markande,Bowler,1,0,0,0,0,0,1,0,0,7.75,0,0,0,0,0
Mohammed Shami,Bowler,20,5,3,150,75,77.89,30,40,27.02,4.14,39.1,6,0,13,0
S Nadeem,Bowler,2,1,1,1,1,20,3,4,27.25,2.91,0,0,0,1,0
MK Pandey,Batsman,20,24,10,400,28.57142857,109.48,0,0,0,0,0,0,0,16,0
Hardik Pandya,Allrounder,20,30,0,500,16.66666667,104.82,12,10,33.84,5.54,36.6,1,0,26,0
KH Pandya,Allrounder,10,6,3,31,10.33333333,131.52,10,10,38.42,8.11,28.4,0,0,7,0
Rishabh Pant,Wk,20,22,2,600,30,82.21,0,0,0,0,0,0,0,20,7
Cheteshwar Pujara,Batsman,30,50,3,2500,53.19148936,44.97,1,0,0,2,-,0,0,21,0
Ajinkya Rahane,Batsman,50,70,7,3000,47.61904762,59.78,0,0,0,0,0,0,0,20,0
KL Rahul,Batsman,40,55,3,1500,28.84615385,79.58,0,0,0,0,0,0,0,21,3
WP Saha,Wk,10,12,3,400,44.44444444,45.86,0,0,0,0,0,0,0,18,12
SV Samson,Wk,7,7,0,83,11.85714286,118.57,0,0,0,0,0,0,0,3,1
Ishant Sharma,Bowler,30,30,20,200,20,30.62,40,60,32.4,3.66,52.9,11,1,14,0
Rohit Sharma,Batsman,117,110,20,4000,44.44444444,87.76,12,4,76.81,4.91,93.8,0,0,50,0
PP Shaw,Batsman,8,12,1,300,27.27272727,88.86,0,0,0,0,0,0,0,2,0
Shubman Gill,Batsman,7,9,1,308,38.5,61.84,0,0,0,0,0,0,0,2,0
Washington Sundar,Allrounder,20,8,1,50,7.142857143,62,9,6,34.65,5.66,36.6,0,0,6,0
UT Yadav,Bowler,30,20,16,200,50,51.34,24,20,31.57,4.39,43,3,1,10,0
