Player,Role,Mat,Bat_Inns,NotOut,Runs_scored,Bat_Ave,SR,Bow_Inns,Wkts,Bow_Ave,Econ,bow_SR,5,10,Ct,St
KK Ahmed,Bowler,15,4,2,10,5,55.55,15,20,33,7,28.2,0,0,4,0
Ravichandran Ashwin,Allrounder,32,30,5,265,10.6,59.67,50,80,27.28,3.44,47.5,27,7,15,0
Jasprit Bumrah,Bowler,55,48,26,65,2.954545455,27.65,71,148,22.89,4,34.2,6,0,28,0
DL Chahar,Bowler,6,6,5,19,19,82.6,6,12,24.55,7.13,20.6,1,0,0,0
Shikhar Dhawan,Batsman,37,52,1,1500,29.41176471,89.46,5,0,0,2,0,0,0,18,0
Ravindra Jadeja,Allrounder,40,40,1,750,19.23076923,75.25,50,40,30.26,3.58,50.7,10,0,16,0
Dinesh Karthik,Wk,20,25,0,500,20,66.93,0,0,0,0,0,0,0,14,10
S Kaul,Bowler,6,2,0,1,0.5,33.33,6,4,65.75,7.17,55,0,0,1,0
Virat Kohli,Batsman,100,120,10,5000,45.45454545,80.26,71,8,118.37,5.9,120.2,0,0,50,0
Kuldeep Yadav,Bowler,12,10,0,80,8,51.21,15,10,23.17,4.97,27.9,4,0,5,0
Bhuvneshwar Kumar,Bowler,80,40,4,350,9.722222222,56.25,100,150,30.93,4.5,41.2,6,0,25,0
Mohammed Shami,Bowler,60,20,5,80,5.333333333,77.89,65,140,27.02,4.14,39.1,6,0,22,0
Mohammed Siraj,Bowler,7,3,1,19,9.5,86.36,10,16,38,3.88,58.6,1,0,4,0
T Natarajan,Bowler,5,1,1,1,1,11.11,6,11,24.72,4.5,32.9,0,0,1,0
MK Pandey,Batsman,15,14,0,400,28.57142857,109.48,0,0,0,0,0,0,0,5,0
Hardik Pandya,Allrounder,40,45,2,1500,34.88372093,104.82,50,70,33.84,5.54,36.6,1,0,22,0
KH Pandya,Allrounder,18,9,4,121,24.2,131.52,18,14,38.42,8.11,28.4,0,0,2,0
Rishabh Pant,Wk,21,30,3,1200,44.44444444,82.21,0,0,0,0,0,0,0,16,18
Cheteshwar Pujara,Batsman,27,48,2,2500,54.34782609,44.97,1,0,0,2,0,0,0,23,0
Ajinkya Rahane,Batsman,40,50,4,1600,34.7826087,59.78,0,0,0,0,0,0,0,18,0
KL Rahul,Batsman,36,40,5,1500,42.85714286,79.58,0,0,0,0,0,0,0,26,0
WP Saha,Wk,17,25,1,600,25,45.86,0,0,0,0,0,0,0,12,12
NA Saini,Bowler,19,9,6,111,37,81.02,20,23,37.43,6.16,36.4,0,0,1,0
SV Samson,Wk,7,7,0,83,11.85714286,118.57,0,0,0,0,0,0,0,3,0
V Shankar,Allrounder,21,12,1,324,29.45454545,101.56,15,9,44.55,6.7,39.8,0,0,4,0
Ishant Sharma,Bowler,80,38,8,120,4,30.62,268,420,32.4,3.66,52.9,11,0,28,0
Rohit Sharma,Batsman,70,80,2,3000,38.46153846,87.76,62,11,76.81,4.91,93.8,0,0,16,0
Shubman Gill,Batsman,7,9,1,308,38.5,61.84,0,0,0,0,0,0,0,2,0
SN Thakur,Bowler,31,12,5,209,29.85714286,98.12,31,45,29.93,6.72,26.6,0,0,2,0
GH Vihari,Batsman,12,21,2,624,32.84210526,42.56,10,5,36,3.13,69,0,0,2,0
UT Yadav,Bowler,50,20,6,80,5.714285714,51.34,80,150,31.57,4.39,43,3,0,15,0
